character_name,dialogue,polarity,frase
banana guard," Ah, this is hard to watch. I'm gonna look away.",-0.1027,Frase 1
banana guard, This place could use a scarecrow.,-0.2023,Frase 2
banana guard," Uh, I-I said this place could use a scarecrow.",-0.2023,Frase 3
banana guard, She slapped my butt!,0.0,Frase 4
banana guard,[' I’m glad you brought this matter to the authorities mam. Now what exactly happened?'],0.481,Frase 5
banana guard,"  Alright, ma'am. ,  Let’s see. How do you spell your name?",0.25,Frase 6
banana guard,  Okay.,0.2263,Frase 7
banana guard,  Okay.,0.2263,Frase 8
banana guard,  Okay.,0.2263,Frase 9
banana guard,  One sec.,0.0,Frase 10
banana guard,  Hold on oone second.,0.0,Frase 11
banana guard,  Sheeelbyy! Have you been up there all day?,0.0,Frase 12
banana guard,"  Uhh, well can ya read somewhere else? Ya kinda offended Tree Trunks here.",0.101,Frase 13
banana guard, Wee-oo-wee—,0.0,Frase 14
banana guard,  Banana Guard.,0.0,Frase 15
banana guard,"  Oh, okay, who are you tattling on?",0.2263,Frase 16
banana guard,  Ice Kingdom? Is this the Ice King?,0.0,Frase 17
banana guard,"  Well uh, we hate you, so — ",-0.3818,Frase 18
banana guard,  Banana Guard.,0.0,Frase 19
banana guard,  Is this the Ice King?,0.0,Frase 20
banana guard,  Mrs. Garamblington?,0.0,Frase 21
banana guard,  Your wife sounds pretty old.,0.4939,Frase 22
banana guard,"  Uh, Mr. Garamblington?",0.0,Frase 23
banana guard,  We'll take care of it.,0.4939,Frase 24
banana guard,  This is a great party.,0.7783,Frase 25
banana guard," Hey, Cinnabun!",0.0,Frase 26
banana guard, Ah! Another attack!,-0.5696,Frase 27
banana guard, My leader! Another attack!,-0.5696,Frase 28
banana guard," Yeah, a lizard. I love your show.",0.7506,Frase 29
banana guard," Well, um, my friend is a very highly-placed official in the Candy Kingdom, and I've noticed—",0.6486,Frase 30
banana guard, Your skin is looking lovely today.,0.5859,Frase 31
banana guard, Aha! Huh?,0.0,Frase 32
banana guard, Umph.,0.0,Frase 33
banana guard, Yeah?,0.296,Frase 34
banana guard," Emergency! Quickly, Lake Butterscotch!",-0.4912,Frase 35
banana guard, Use the licorice lace lasso!,0.0,Frase 36
banana guard," Oh, okay.",0.2263,Frase 37
banana guard," Busted, you boat crimer.",0.0,Frase 38
banana guard, Finn and Jake?,0.0,Frase 39
banana guard," Uh, yeah, it is the princess!",0.3595,Frase 40
banana guard, Um... what case?,0.0,Frase 41
banana guard, We didn't solve that case.,-0.1511,Frase 42
banana guard," Um, Root Beer Guy!",0.0,Frase 43
banana guard, Did she just say let everyone go?,0.0,Frase 44
banana guard," Oh! Wow! Cool! ,  Show's back on!",0.8057,Frase 45
banana guard," Yo, why are you so confident, man? Aren't you nervous to meet the princess?",0.7423,Frase 46
banana guard, Hey!,0.0,Frase 47
banana guard, I don't know. Weren't they just here?,0.0,Frase 48
banana guard," Well, I guess my kids still have a daddy.",0.2732,Frase 49
banana guard," Hey, good news, fellas. You bail's paid. You're free to go. ",0.7351,Frase 50
banana guard," Don't. ,  No! ,  Hey, watch your pieces, man.",0.2914,Frase 51
banana guard," Hey, the closet's open!",0.0,Frase 52
banana guard," Ma'am, you're gonna have to come with us.",0.0,Frase 53
banana guard, No!,-0.3595,Frase 54
banana guard," Hey, big baby!",0.0,Frase 55
banana guard,,0.0,Frase 56
banana guard,,0.0,Frase 57
banana guard, S-she's beautiful.,0.5994,Frase 58
banana guard," No. You're not beautiful. ,  We see you clearly now. You're earwax!",-0.4475,Frase 59
banana guard, You're earwax!,0.0,Frase 60
banana guard," Uh, no.",-0.296,Frase 61
banana guard, Can we flee in a panic?,-0.5106,Frase 62
banana guard, I got it!,0.0,Frase 63
banana guard," Well, check 'em in, Private.",0.2732,Frase 64
banana guard," And Private, I'm very thirsty! Bring me back the most delicious flavor they have!",0.6785,Frase 65
banana guard, Huh? Now what in the heck—?!,0.0,Frase 66
banana guard," What flavor did you bring me, Private?",0.0,Frase 67
banana guard, What?,0.0,Frase 68
banana guard, The forbidden flavor! It's—delicious.,-0.4753,Frase 69
banana guard, Okay...,0.0,Frase 70
banana guard,,0.0,Frase 71
banana guard," Hey, speedy. ,  You're comin' with me.",0.0,Frase 72
banana guard, Mm-hmm... 'cause you ain't got enough peel on that 'nanner! You're under arrest for public indecency!,-0.4559,Frase 73
banana guard," Captain, the milk delivery has arrived.",0.0,Frase 74
banana guard," Yes, sir! ",0.4574,Frase 75
banana guard, Yes sir! ,0.4574,Frase 76
banana guard," I got your milk, sir!",0.0,Frase 77
banana guard, It's them!,0.0,Frase 78
banana guard, Whoa.,0.0,Frase 79
banana guard,  Long live the king!,0.0,Frase 80
banana guard,[' Long live the king!'],0.0,Frase 81
banana guard,"  Hey, Finn!",0.0,Frase 82
banana guard,  Nothing!,0.0,Frase 83
banana guard,  Show you what?,0.0,Frase 84
banana guard,  We didn't say nothin'!,0.0,Frase 85
banana guard,"  Yeah, yeah. We've heard that before. C'mon robber!",-0.126,Frase 86
banana guard, ,0.0,Frase 87
banana guard," Your highness. Greetings, your majesty.",0.4215,Frase 88
banana guard, Go! Go! Go! Go! ,0.0,Frase 89
banana guard," CHARGE! ,  WEEWOOWEEWOO! ,  CHARGE! ",0.0,Frase 90
banana guard," Hey, you hit me!",0.0,Frase 91
banana guard, Ooooh!,0.0,Frase 92
banana guard, Gotcha!,0.0,Frase 93
banana guard," Okay! Weeoo weeoo weeoo weeoo... ,  Ah! Can't fight! ",0.6072,Frase 94
banana guard, Wee-Ooo! Wee-Ooo! Wee-Ooo! Wee-Ooo!,0.0,Frase 95
banana guard,,0.0,Frase 96
banana guard,,0.0,Frase 97
banana guard," Princess, we came back to help! ,  Eee! Help us, princess!",0.7412,Frase 98
banana guard,"  C'mon, man! That last game wasn't fair.",-0.308,Frase 99
banana guard,"  Okay, this game breaks the tie.",0.2263,Frase 100
banana guard,  Last game.,0.0,Frase 101
banana guard,"  Whew! You sure know how to party, Davey! ",0.6792,Frase 102
banana guard,  No no no!,-0.7088,Frase 103
banana guard,"  Yeah, there goes Davey and the criminal.",-0.296,Frase 104
banana guard,  How about: Who can hold up their hand the longest?,0.4939,Frase 105
banana guard,  Okay.,0.2263,Frase 106
banana guard,  Last game.,0.0,Frase 107
banana guard,"  Hm? Oh, hey Davey.",0.0,Frase 108
banana guard,"  Hm? ,  What's going on?",0.0,Frase 109
banana guard,  Umm... yeah... sure. I do feel kinda dirty.,-0.079,Frase 110
banana guard,[' Yes yes yes!'],0.69,Frase 111
banana guard," Here's your meal, criminal. We feed our criminals. ,  Hey, stop!",-0.8622,Frase 112
banana guard,"  Hey, there they go!",0.0,Frase 113
banana guard,[' Thanks!'],0.0,Frase 114
banana guard," You're preachin' to the preacher, brother.",0.0,Frase 115
banana guard," What? Am I—oh, hi! Um, longtime listener, first-time caller. So, uh, I think Princess Bubblegum has been replaced by, like, a lizard person.",0.4199,Frase 116
banana guard," Up we go. ,  In position, ma'am. Code name, ""Father's Brother"", appears testy.",0.0,Frase 117
banana guard," Boy, this place could use a scarecrow.",-0.2023,Frase 118
banana guard, Banana Guard speaking.,0.0,Frase 119
banana guard," Huh, how can twenty-five guys look like one guy? You mean they're viginti-quintuplets?",0.4329,Frase 120
banana guard, How did that happen?,0.0,Frase 121
banana guard, Where they'd go?,0.0,Frase 122
banana guard, I'm the leader.,0.0,Frase 123
banana guard," Hey guys, it's the picture of one of the perpetrators. Take a good look.",0.2263,Frase 124
banana guard, I need to see the other twenty-four pictures.,0.0,Frase 125
banana guard, What? How can one picture identify twenty-five perpetrators?,-0.3313,Frase 126
banana guard," Oh okay, I see. There's twenty-five of them! They all look like this guy!",0.6103,Frase 127
banana guard, You mean they're viginti-quintuplets?,0.0,Frase 128
banana guard, What are clones?,0.0,Frase 129
banana guard, I love long stories.,0.6369,Frase 130
banana guard, And they're not brothers?,0.0,Frase 131
banana guard," Hey you, stop!",-0.3595,Frase 132
banana guard, Have you seen this guy?,0.0,Frase 133
banana guard," You two stop too! ,  Show them the picture!",-0.4184,Frase 134
banana guard, Have you guys seen this guy?,0.0,Frase 135
banana guard, Let me see that picture again.,0.0,Frase 136
banana guard," Hmm... Hmm... ,  What's your name?",0.0,Frase 137
banana guard, What's your name?,0.0,Frase 138
banana guard, You're all named James. Is it because you guys look alike?,0.0,Frase 139
banana guard," Y'know, I was telling this to the guys... If, if we look alike, we should have the same name. It would just make it a little easier. Life, that is. It would make our life a little easier. ,  Aah... Give me a second... ,  Same name... Look alike... You really look alike... Brothers! You're all brothers?",0.6492,Frase 140
banana guard," One, two, three, four, five, six, seven-",0.0,Frase 141
banana guard," Hmm... Twenty-five... Not brothers... ,  I think these are the twenty-five that are not brothers. ,  Perpetrators! Get to them! ",0.3235,Frase 142
banana guard, Uh... what?,0.0,Frase 143
banana guard, Louder! Push it hard!,-0.2462,Frase 144
banana guard," Alright soldiers, time to shred those pipes! I wanna hear you scream!",-0.3147,Frase 145
susan strong, Suhhhn... Ow la koo sow suhn. ,0.0,Frase 146
susan strong, Suuhh... suhhhn... ,0.0,Frase 147
susan strong, Huh?,0.0,Frase 148
susan strong, Aah! AAH!!,0.0,Frase 149
susan strong," Graaaahhhss... ,  Huh... huh... huh. ",0.0,Frase 150
susan strong, Hahahahahahahaha! Two be cah reh ss... buh a thuh ahp fer ger... ss.,0.0,Frase 151
susan strong, YEEH!! ITSA PA TUH MUP!,0.0,Frase 152
susan strong, Ohhhh. ,0.0,Frase 153
susan strong, Manee mah nuhp lehp!,0.0,Frase 154
susan strong,[' Jus a rah. '],0.0,Frase 155
susan strong," Hm, hah, prety go-ah-suh pattah! ",0.0,Frase 156
susan strong,[' MMMM!! Ohhh... Tha is goo!! '],0.0,Frase 157
susan strong, CAAANDY KING-DOOOM!,0.0,Frase 158
susan strong, Finn!,0.0,Frase 159
susan strong," Finn, where's all the candy yuh werp talk ah bout?! ",0.0,Frase 160
susan strong, CANDY! CANDY! ,0.0,Frase 161
susan strong, Ohh-ho. ,0.0,Frase 162
susan strong," Mmm! ,  Now, I gonna get friends. We eat all of Candy Kingdom.",0.5255,Frase 163
susan strong," Oh. No, no, no, no, no. We won't eat red stripe man. Only everyone else. ,  Bye!",-0.8516,Frase 164
susan strong, Just grass!,0.0,Frase 165
susan strong, Wah!! Just shadows!,0.0,Frase 166
susan strong, DUCK!!,0.0,Frase 167
susan strong,"  Finn, help Susan.",0.4019,Frase 168
susan strong,  I need your hero heart and your magic.,0.5574,Frase 169
susan strong,[' Magic of red flower.'],0.0,Frase 170
